,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
0,76,0.03076171875,0,0.49658203125,4,0,74,62.746506986027946,64.65835411471322
1,25,0.03076171875,0,0.49658203125,4,1,28,19.44111776447106,22.08728179551122
2,76,0.53271484375,0,0.49658203125,4,2,14,11.848303393213573,11.783042394014963
3,76,0.03076171875,19,0.49658203125,4,3,10,13.48502994011976,13.603491271820449
4,76,0.03076171875,0,0.39013671875,4,4,63,61.07185628742515,62.17206982543641
5,76,0.03076171875,0,0.49658203125,4,5,66,59.12774451097805,61.06483790523691
6,25,0.53271484375,19,0.39013671875,4,6,0,0.1536926147704591,0.1770573566084788
7,146,0.53076171875,10,0.99658203125,6,7,16,10.868263473053892,11.129675810473815
8,95,0.53076171875,10,0.99658203125,6,8,2,2.9900199600798403,3.119700748129676
9,146,0.03271484375,10,0.99658203125,6,9,36,45.60279441117765,46.6783042394015
10,146,0.53076171875,9,0.99658203125,6,10,13,12.011976047904191,11.99501246882793
11,146,0.53076171875,10,0.89013671875,6,11,24,12.698602794411178,12.356608478802993
12,146,0.53076171875,10,0.99658203125,6,12,15,13.071856287425149,13.28428927680798
13,95,0.03271484375,9,0.89013671875,6,13,18,17.035928143712574,15.910224438902743
14,111,0.28076171875,5,0.24658203125,5,14,10,18.295409181636728,18.561097256857856
15,130,0.28076171875,5,0.24658203125,5,15,31,30.227544910179642,31.55361596009975
16,111,0.78271484375,5,0.24658203125,5,16,0,2.0199600798403194,1.9027431421446384
17,111,0.28076171875,4,0.24658203125,5,17,12,20.54690618762475,20.326683291770575
18,111,0.28076171875,5,0.64013671875,5,18,10,17.241516966067863,18.23940149625935
19,111,0.28076171875,5,0.24658203125,5,19,17,19.850299401197606,19.965087281795512
20,130,0.78271484375,4,0.64013671875,5,20,2,3.3213572854291415,3.690773067331671
21,41,0.78076171875,15,0.74658203125,3,21,0,0.10578842315369262,0.11221945137157108
22,60,0.78076171875,15,0.74658203125,3,22,0,0.3213572854291417,0.2967581047381546
23,41,0.28271484375,15,0.74658203125,3,23,2,1.2115768463073853,1.346633416458853
24,41,0.78076171875,14,0.74658203125,3,24,0,0.1497005988023952,0.16708229426433915
25,41,0.78076171875,15,0.14013671875,3,25,0,0.34530938123752497,0.3765586034912718
26,41,0.78076171875,15,0.74658203125,3,26,1,0.0658682634730539,0.07231920199501247
27,60,0.28271484375,14,0.14013671875,3,27,4,3.5788423153692617,3.401496259351621
28,32,0.21826171875,6,0.93408203125,5,28,0,0.5788423153692615,0.5037406483790524
29,68,0.21826171875,6,0.93408203125,5,29,1,3.714570858283433,3.1670822942643393
30,32,0.59521484375,6,0.93408203125,5,30,0,0.17165668662674652,0.18952618453865336
31,32,0.21826171875,17,0.93408203125,5,31,0,0.5688622754491018,0.5985037406483791
32,32,0.21826171875,6,0.45263671875,5,32,0,1.2095808383233533,1.254364089775561
33,32,0.21826171875,6,0.93408203125,5,33,0,0.47305389221556887,0.29177057356608477
34,68,0.59521484375,17,0.45263671875,5,34,0,2.5848303393213574,2.4438902743142146
35,102,0.71826171875,16,0.43408203125,3,35,4,2.059880239520958,2.0374064837905235
36,138,0.71826171875,16,0.43408203125,3,36,5,5.325349301397206,4.84788029925187
37,102,0.09521484375,16,0.43408203125,3,37,27,23.44311377245509,23.528678304239403
38,102,0.71826171875,7,0.43408203125,3,38,3,2.463073852295409,2.7630922693266835
39,102,0.71826171875,16,0.95263671875,3,39,3,2.035928143712575,2.1920199501246884
40,102,0.71826171875,16,0.43408203125,3,40,1,2.4251497005988023,2.4763092269326683
41,138,0.09521484375,7,0.95263671875,3,41,29,30.105788423153694,30.870324189526183
42,137,0.46826171875,1,0.68408203125,4,42,13,24.67864271457086,25.967581047381547
43,103,0.46826171875,1,0.68408203125,4,43,11,12.233532934131736,13.463840399002494
44,137,0.84521484375,1,0.68408203125,4,44,8,2.564870259481038,2.9052369077306732
45,137,0.46826171875,2,0.68408203125,4,45,25,17.347305389221557,17.698254364089774
46,137,0.46826171875,1,0.70263671875,4,46,16,23.281437125748504,24.556109725685786
47,137,0.46826171875,1,0.68408203125,4,47,39,24.36127744510978,25.286783042394013
48,103,0.84521484375,2,0.70263671875,4,48,4,0.6487025948103793,0.7206982543640897
49,67,0.96826171875,11,0.18408203125,6,49,0,0.07385229540918163,0.08478802992518704
50,33,0.96826171875,11,0.18408203125,6,50,0,0.0,0.0
51,67,0.34521484375,11,0.18408203125,6,51,7,7.219560878243513,7.2094763092269325
52,67,0.96826171875,12,0.18408203125,6,52,0,0.01996007984031936,0.00997506234413965
53,67,0.96826171875,11,0.20263671875,6,53,0,0.0,0.0
54,67,0.96826171875,11,0.18408203125,6,54,0,0.015968063872255488,0.0199501246882793
55,33,0.34521484375,12,0.20263671875,6,55,1,0.9660678642714571,0.9850374064837906
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
111,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,,,,,,,,,
132,,,,,,,,,
133,,,,,,,,,
134,,,,,,,,,
135,,,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
